CODIMUNI;NOMMUNI;2017_mean;2017_min;2017_max;2018_mean;2018_min;2018_max;2019_mean;2019_min;2019_max;2020_mean;2020_min;2020_max
81542;Pacs del Penedﬁs;0.16;-0.56;0.73;0.36;-0.54;0.83;0.27;-0.31;1.00;0.40;-1.00;0.78
81555;Palafolls;0.41;-0.45;1.00;0.44;-0.46;1.00;0.46;-0.54;1.00;0.46;-1.00;0.83
81568;Palau-solit” i Plegamans;0.34;-0.45;0.86;0.30;-0.36;0.79;0.43;-0.53;0.84;0.50;-0.25;0.85
81574;Pallej”;0.35;-0.48;1.00;0.36;-0.53;0.82;0.43;-0.49;0.82;0.46;-1.00;1.00
81580;el Papiol;0.34;-0.45;1.00;0.34;-0.40;1.00;0.42;-0.33;1.00;0.46;-1.00;0.84
81593;Parets del Vallﬁs;0.24;-0.47;0.80;0.23;-0.33;0.78;0.34;-0.47;0.83;0.41;-0.30;0.83
81635;Pineda de Mar;0.33;-0.53;1.00;0.40;-0.49;0.84;0.40;-0.53;1.00;0.41;-1.00;0.83
81640;el Pla del Penedﬁs;0.18;-0.35;0.78;0.32;-0.04;0.75;0.26;-0.29;0.80;0.43;-0.45;0.79
81672;Poliny”;0.28;-0.43;0.78;0.27;-0.31;0.79;0.41;-0.40;0.84;0.46;-0.33;0.84
81688;Pontons;0.44;-0.50;1.00;0.46;-0.21;1.00;0.48;-0.29;1.00;0.50;-0.28;0.81
81691;el Prat de Llobregat;0.15;-0.58;1.00;0.19;-0.51;0.76;0.22;-0.53;0.81;0.22;-0.57;0.81
81727;Premi” de Mar;0.09;-0.47;0.70;0.19;-0.36;0.76;0.21;-0.52;1.00;0.21;-0.38;0.81
81748;Puigd”lber;0.16;-0.38;0.69;0.27;-0.10;0.73;0.21;-0.27;0.75;0.34;-0.20;0.76
81799;Rellinars;0.46;-0.50;1.00;0.52;-0.40;1.00;0.51;-0.33;1.00;0.62;-0.08;0.87
81803;Ripollet;0.16;-0.57;0.77;0.22;-0.47;0.74;0.27;-0.57;0.81;0.28;-0.65;0.82
81810;la Roca del Vallﬁs;0.40;-0.42;1.00;0.41;-0.42;1.00;0.51;-0.51;1.00;0.59;-1.00;0.87
81846;Rub›;0.31;-0.56;1.00;0.34;-0.44;1.00;0.42;-0.52;1.00;0.43;-1.00;1.00
81878;Sabadell;0.29;-0.61;0.85;0.30;-0.50;0.82;0.38;-0.58;0.86;0.48;-1.00;1.00
81939;Sant Iscle de Vallalta;0.56;-0.54;1.00;0.60;-0.49;0.86;0.60;-0.43;0.87;0.62;-0.47;0.84
81944;Sant Adri” de Bes?s;0.10;-0.31;0.72;0.16;-0.49;0.76;0.19;-0.43;0.81;0.22;-0.52;0.82
